Percentage,MV,Augmented_MV,Budget,Exec_Time
1,48.4,48.4,30.43786201477051,31.352294921875
2,46.0,46.0,32.252850723266604,31.716256856918335
3,46.0,46.0,34.06783943176269,31.399109601974487
4,46.0,46.0,35.88282814025879,31.477635145187378
5,46.0,46.0,37.69781684875488,31.60053515434265
6,46.0,46.0,39.51280555725098,31.51037096977234
7,46.0,46.0,41.32779426574707,31.550625801086426
8,46.0,46.0,43.14278297424316,31.447495460510254
9,46.0,46.0,44.957771682739256,31.571382522583008
10,46.0,46.0,46.77276039123535,31.396838903427124
